title,synopsis,genre_id
On the Ball,Sports management sim focusing on soccer club roster and game strategy from boardroom to pitch.,
Ongaku Tsukuru Kanadeeru,"Music creation tool allowing players to compose, arrange, and record digital tunes.",
Onizuka Katsuya Super Virtual Boxing - Shin Kentou Ou Densetsu,"Boxing sim featuring real boxer Onizuka, focusing on punch timing and stamina strategy.",
Oonita Atsushi FMW,Wrestling game featuring real pro wrestler Atsushi Ōonita with deathmatch-themed stages.,
Oozumou Spirits,Sumo wrestling sim emulating traditional tournament arenas and weight classes.,
Operation Europe - Path to Victory 1939-45,Grand strategy sim of WWII’s European theater with real unit deployments and historical scenarios.,
Operation Logic Bomb: The Ultimate Search & Destroy,Cyberpunk action-platformer drenched in sci-fi combat and technology.,
Operation Thunderbolt,On-rails rail shooter faithfully adapting the arcade’s fast-paced shooting action.,
Oraga Land Shusai - Best Farmer Shuukakusai,Farming event sim combining agricultural mechanics with festival presentation.,
Oscar,Art-house adventure game with cinematic pacing and character-driven narrative.,
Ossu!! Karate-bu,"Dojo training sim focused on karate moves, tournament ranking, and practice-based progression.",
Othello World,Othello/Reversi simulation with challenge modes and varied AI opponents.,
The Ninja Warriors,Action side-scroller where cyborg ninjas fight oppressive regimes through dystopian cities.,
Otoboke Ninja Colosseum,"Battle arena with chaotic ninja fights, power-ups, and slapstick combat.",
Otogirisou: Hypericum Perforatum,Explore a mysterious mansion filled with puzzles and supernatural secrets.,
Out of This World | Another World,Survive a strange alien world after a lab accident in this cinematic action-adventure.,
Outlander,Navigate a post-apocalyptic wasteland in a thrilling vehicle combat journey.,
Pac-Attack,Defend your territory by stacking blocks and defeating ghosts in this Pac-Man puzzle game.,
Pac-in-Time,Help Pac-Man solve puzzles and fight enemies in a colorful platform adventure.,
Pac-Man 2: The New Adventures,Guide Pac-Man through cartoon-style levels solving problems and collecting fruit.,
Pachi-Slot Gambler,Experience realistic Japanese pachinko slot machines in this gambling simulation.,
Pachi-Slot Kanzen Kouryaku - Universal Shindai Nyuuka Volume 1,Master various pachinko slot strategies in this detailed simulator.,
Pachi-Slot Kenkyuu,Dive deep into pachinko slot mechanics and strategies for high scores.,
Pachi-Slot Land - Pachipachi Coin no Densetsu,Enjoy pachinko slot gameplay with multiple machines and challenges.,
Pachi-Slot Love Story,Experience a romantic-themed pachinko slot adventure with unique story elements.,
Pachi-Slot Monogatari: PAL Kougyou Special,Play special edition pachinko slot machines with unique features.,
Pachi-Slot Monogatari: Universal Special,Discover universal pachinko slot machines with varied gameplay.,
Pachinko Challenger,Test your luck and skills on classic pachinko machines.,
Pachinko Fan - Shouri Sengen,Become a pachinko master by winning big on challenging machines.,
Pachinko Maruhi Hisshouhou,Use secret techniques to dominate pachinko slot games.,
Pachinko Monogatari - Pachi-Slot mo Aru deyo!!,Enjoy a mix of pachinko and slot machine gameplay with story elements.,
Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou,Continue the pachinko saga with new machines and challenges.,
Pachinko Ren-chan Tengoku - Super CR Special,Experience exciting pachinko action with special features and bonuses.,
Pachinko Tetsujin - Nanaban Shoubu,Battle through tough pachinko challenges with strategic play.,
Pachinko Wars,Engage in pachinko battles with multiple machines and opponents.,
Pachinko Wars II,Continue the pachinko tournament with advanced machines and competition.,
Pachio-kun Special,Play classic pachinko machines with fun and unique themes.,
Pachio-kun Special 2,Enjoy new pachinko challenges and exciting gameplay.,
Pachio-kun Special 3,Master the latest pachinko machines in this special edition.,
Pacific Theater of Operations,Command naval forces in intense World War II Pacific battles.,
Pacific Theater of Operations II,Lead your fleet through advanced Pacific War scenarios.,
Packy & Marlon,Join two friends on a platforming adventure to save their animal friends.,
Paladin's Quest,Embark on a fantasy RPG quest to defeat an ancient evil and restore peace.,
Panel de Pon,Solve colorful puzzles by matching blocks and triggering chain reactions.,
Panel de Pon - Event '98,Challenge new puzzles and compete in the Panel de Pon tournament.,
Panic in Nakayoshi World,Help cute characters escape hazards in this quirky action-puzzle game.,
Paperboy 2,Deliver newspapers through tricky neighborhoods while avoiding hazards.,
Parame ROM Cassette 1-5,Experience a variety of classic mini-games and demos in this collection.,
Parlor! Mini - Pachinko Jikki Simulation Game,Try your hand at realistic pachinko gameplay on multiple machines.,
Parlor! Mini 2 - Pachinko Jikki Simulation Game,Continue practicing pachinko skills with updated machines.,
Parlor! Mini 3 - Pachinko Jikki Simulation Game,Experience more pachinko variations and strategies.,
Parlor! Mini 4 - Pachinko Jikki Simulation Game,Master new pachinko challenges in this detailed simulator.,
Parlor! Mini 5 - Pachinko Jikki Simulation Game,Test your luck on increasingly difficult pachinko machines.,
Parlor! Mini 6 - Pachinko Jikki Simulation Game,Keep improving pachinko techniques with fresh gameplay.,
Parlor! Mini 7 - Pachinko Jikki Simulation Game,Face new pachinko puzzles and bonus stages.,
Parlor! Parlor!,Enter the world of pachinko with multiple machines and gameplay modes.,
Parlor! Parlor! 3,Discover new pachinko challenges and features in this edition.,
Parlor! Parlor! 4 CR,Enjoy pachinko with added special effects and bonus rounds.,
Parlor! Parlor! 5,Take on advanced pachinko machines and tournaments.,
Parodius: Non-Sense Fantasy,Experience a quirky shoot-em-up filled with humor and bizarre enemies.,
Pebble Beach no Hatou New: Tournament Edition,Play realistic golf on the famous Pebble Beach course.,
PGA European Tour,Compete in professional golf tournaments across Europe.,
PGA Tour 96,Tee off in authentic PGA Tour golf competitions.,
PGA Tour Golf,Enjoy classic golf gameplay with multiple courses and challenges.,
Phalanx: The Enforce Fighter A-144,Pilot a futuristic fighter in side-scrolling shoot-em-up action.,
Picross NP Vol. 1,Solve logic puzzles by filling grids to reveal hidden pictures.,
Picross NP Vol. 2,Continue solving challenging nonogram puzzles for fun and relaxation.,
Picross NP Vol. 3,Enjoy more intricate picross puzzles with increasing difficulty.,
Picross NP Vol. 4,Test your logic skills with advanced grid puzzles.,
Picross NP Vol. 5,Solve new picross challenges with unique designs.,
Picross NP Vol. 6,Keep puzzling through detailed and tricky nonograms.,
Picross NP Vol. 7,Master complex picross puzzles with careful deduction.,
Picross NP Vol. 8,Finish the series with the toughest picross challenges.,
Pieces,Arrange falling blocks to clear lines in this classic puzzle game.,
Pierre le Chef is... Out to Lunch,Help Pierre collect ingredients and cook in this fun platformer.,
Pikiinya!,Guide cute creatures through colorful and challenging puzzles.,
Pilotwings,Take flight in various aircraft and complete flying challenges.,
Pinball Dreams,Experience classic pinball tables with realistic physics and gameplay.,
Pinball Fantasies,Play beautifully designed pinball machines with unique themes.,
Pink Panther in Pink Goes to Hollywood,Join the Pink Panther in a stealthy platform adventure.,
Pinkie,Explore colorful levels as Pinkie in this charming platformer.,
Pinocchio,Follow the adventures of Pinocchio in a story-driven platform game.,
Pipe Dream,Connect pipes to create a continuous flow and prevent flooding.,
Pit-Fighter,Battle opponents in a brutal arcade-style fighting game.,
Pitfall: The Mayan Adventure,Explore dangerous jungles and ancient ruins in this action-platformer.,
Plok!,Jump and fight through quirky levels to save Plok’s kidnapped family.,
Pocky & Rocky,Team up for a shoot-em-up adventure with Japanese folklore themes.,
Pocky & Rocky 2,Continue battling spirits and monsters in this cooperative shoot-em-up.,
Poi Poi Ninja World,Slash enemies and solve puzzles as a ninja in a colorful world.,
Poitto! | Mahou Poi Poi Poitto!,Cast spells and solve puzzles in a magical adventure.,
Pokonyan! Henpokorin Adventure,Join Pokonyan on a whimsical platform quest.,
Pop'n TwinBee,"Fly through bright, cheerful levels in this classic shoot-em-up.",
Pop'n Twinbee: Rainbow Bell Adventures,Continue the colorful airborne adventures with power-ups and bosses.,
Popeye: Ijiwaru Majo Sea Hag no Maki,Help Popeye rescue Olive Oyl from the Sea Hag’s clutches.,
Popful Mail,Embark on a fantasy action RPG adventure with unique characters.,
Populous,Shape the land and lead your followers to victory as a godlike being.,
Populous II: Trials of the Olympian Gods,Face new divine challenges and control powerful magic.,
Porky Pig's Haunted Holiday,Help Porky Pig escape a haunted mansion filled with spooky dangers.,
Power Drive,Race cars in intense circuits and prove your driving skills.,
Power Lode Runner,Solve puzzles and avoid enemies while collecting gold.,
Power Monger,Conquer territories and build an empire in this strategy game.,
Power Moves,Fight your way through tough opponents in a street brawler.,
Power of the Hired,Command a team of mercenaries in tactical battles.,
Power Piggs of the Dark Ages,Join the Power Piggs in this quirky platform adventure.,
Power Rangers Zeo: Battle Racers,Race as your favorite Power Rangers in action-packed circuits.,
Power Soukoban,Push blocks and solve challenging Sokoban puzzles.,
Prehistorik Man,Travel through prehistoric times fighting dinosaurs and cavemen.,
Primal Rage,Control giant beasts in brutal battles for survival.,
Prince of Persia,Navigate deadly traps and fight enemies to rescue the princess.,
The Pagemaster,Explore magical worlds through storybook adventures.,
The Peace Keepers,Fight crime and restore peace in this beat-em-up game.,
The Pirates of Dark Water,Embark on a quest to find treasure and defeat evil pirates.,
Prince of Persia 2: The Shadow and the Flame,Continue the prince’s journey through new dangers and mysteries.,
Princess Maker: Legend of Another World,Raise and guide a princess through her coming of age.,
Princess Minerva,Control a young mage on a quest to save her kingdom.,
Pro Kishi Jinsei Simulation: Shougi no Hanamichi,Experience the life of a professional shogi player.,
Pro Mahjong Kiwame,Master the rules and strategies of Japanese mahjong.,
Pro Mahjong Kiwame II,Advance your mahjong skills with new challenges and opponents.,
Pro Mahjong Kiwame III,Face the toughest mahjong masters in intense matches.,
Pro Mahjong Tsuwamono,Battle in strategic mahjong duels with realistic AI.,
Pro Quarterback,Lead your football team to victory in this gridiron simulation.,
Pro Sport Hockey,Compete in fast-paced ice hockey matches.,
Pro Yakyuu Nettou: Puzzle Stadium,Play baseball-themed puzzle challenges.,
Pro Yakyuu Star,Manage a baseball team and compete in league play.,
Psycho Dream,Enter a surreal world battling monsters and solving puzzles.,
Push-Over,Guide ants to safety by toppling domino-like blocks.,
Putty Squad,Control a stretchy putty to solve puzzles and defeat enemies.,
Puzzle Nintama Rantarou: Ninjutsu Gakuen Puzzle Taikai no Dan,Compete in ninja-themed puzzle tournaments.,
Puzzle'n Desu!,Solve challenging block puzzles in this addictive game.,
Q*bert 3,Navigate tricky isometric platforms avoiding enemies and traps.,
R-Type III: The Third Lightning,Pilot a fighter craft against alien threats in intense shoot-em-up action.,
R.P.M. Racing,Race high-speed cars on challenging tracks.,
Race Drivin',Experience realistic 3D racing with multiple vehicles and tracks.,
Radical Dreamers: Nusumenai Houseki,Explore a mysterious mansion in this text-driven adventure.,
Radical Psycho Machine Racing,Race futuristic bikes in fast-paced competitions.,
Radical Rex,Control a dinosaur on a wild platforming adventure.,
Raiden Trad,Fly a fighter plane and shoot down enemy forces in classic arcade style.,
Rampart,Build defenses and conquer territories in this strategic castle siege game.,
Ranma ½: Akanekodan Teki Hihou,Battle as Ranma characters in a fighting game based on the anime.,
Ranma ½: Chougi Ranbu Hen,Engage in fast-paced fights with Ranma’s unique cast.,
Ranma ½: Chounai Gekitou Hen,Fight rivals in this action-packed Ranma ½ brawler.,
Ranma ½: Hard Battle,Test your skills in challenging Ranma ½ battles.,
Ranma ½: Ougi Jaanken,Play rock-paper-scissors style combat with Ranma characters.,
Rap Jam - Volume One,Street basketball with vibrant characters and moves.,
Realm,Explore a fantasy world filled with magic and monsters.,
Record of Lodoss War | Lodoss-tou Senki,Embark on an epic RPG quest based on the classic anime.,
Redline: F1 Racer,Compete in Formula 1 races with high-speed action.,
Rejoice: Aretha Oukoku no Kanata,Journey through a fantasy kingdom in this RPG adventure.,
Relief Pitcher,Take control of pitching in baseball games and lead your team to victory.,
Rendering Ranger: R2,Fight alien invaders with advanced weapons and armor.,
Res Arcana - Diana Ray - Uranai no Meikyuu,Solve magical puzzles to unlock ancient secrets.,
Return of Double Dragon,Team up to fight street gangs in this classic beat-em-up.,
Revolution X,Battle enemy forces using music and weaponry in a chaotic shooter.,
Rex Ronan: Experimental Surgeon,Shrink and enter the body to fight disease in an educational action game.,
Riddick Bowe Boxing,Step into the ring as the boxing champion and fight opponents.,
Ring ni Kakero,Fight your way through boxing tournaments to become the champion.,
Rise of the Phoenix,Lead your forces to victory in strategic battles set in ancient China.,
Rise of the Robots,Control advanced robots in futuristic fighting matches.,
Road Riot 4WD,Race off-road vehicles through challenging courses.,
Road Runner's Death Valley Rally,Help the Road Runner escape traps set by Wile E. Coyote.,
RoboCop 3,Take on crime-fighting missions as RoboCop in a dystopian city.,
RoboCop Versus The Terminator,Battle machines and cyborgs in a sci-fi action showdown.,
Robotrek,Command robots in a tactical RPG adventure.,
Rock n' Roll Racing,Race with rock soundtrack in high-speed vehicular combat.,
Rockman & Forte,Join Mega Man and Forte in a classic action platformer.,
Rocko's Modern Life: Spunky's Dangerous Day,Help Rocko and Spunky through crazy platform challenges.,
Rocky Rodent,Navigate dangerous levels as a clever rodent hero.,
Roger Clemens' MVP Baseball,Play baseball as legendary pitcher Roger Clemens.,
Rokudenashi Blues: Taiketsu! Tokyo Shitennou,Fight through gangs in this action-packed beat-em-up.,
Romance of the Three Kingdoms II | Super Sangokushi II,Strategize and conquer ancient China in this grand strategy game.,
Romance of the Three Kingdoms III: Dragon of Destiny | Sangokushi III,Continue epic battles for control of China’s kingdoms.,
Romance of the Three Kingdoms IV: Wall of Fire | Sangokushi IV,Command armies and navigate politics to unify China.,
Romancing SaGa,Explore a vast world with multiple characters in this classic RPG.,
Romancing SaGa 2,Lead a dynasty through generations in this epic role-playing game.,
Romancing SaGa 3,Discover deep storylines and diverse characters in a sprawling RPG.,
RPG Tsukuru 2,Create and play your own RPG adventures.,
RPG Tsukuru: Super Dante,Build fantasy worlds and stories with this RPG maker tool.,
Rudra no Hihou | Treasure of the Rudras,Solve ancient mysteries in this epic RPG quest.,
Ruin Arm,Battle enemies and save the world in this action RPG.,
Run Saber,Fight through futuristic levels as elite soldiers against evil forces.,
Rushing Beat,Beat enemies in fast-paced side-scrolling action.,
Rushing Beat Ran: Fukusei Toshi,Continue the fight in a dystopian cityscape.,
Rushing Beat Shura,Defeat enemies in this intense beat-em-up sequel.,
Ryuukiheidan Danzarb | Dragon Squadron: Danzarb,Pilot a dragon squadron in thrilling aerial combat.,
Ryuuko no Ken 2,Engage in martial arts battles with diverse fighters.,
Saibara Rieko no Mahjong Hourouki,Play traditional mahjong with challenging AI opponents.,
Saikousoku Shikou Shougi Mahjong,Combine shogi and mahjong in a unique puzzle game.,
Saikyou: Takada Nobuhiko,Fight as legendary martial artist Takada Nobuhiko in intense matches.,
Sakurai Shouichi no Jankiryuu Mahjong Hisshouhou,Master mahjong strategies and techniques.,
Same Game,Clear clusters of blocks by matching colors in this addictive puzzle game.,
Samurai Shodown,Duel deadly samurai warriors in fast-paced combat.,
Sangokushi Eiketsuden,Experience heroic battles in ancient China’s Three Kingdoms era.,
Sangokushi Seishi: Tenbu Spirits,Command legendary generals in this tactical strategy game.,
Sankyo Fever! Fever!,Play exciting pachinko machines with flashy effects.,
Sanrio Shanghai,Match Sanrio characters in a relaxing puzzle game.,
Sanrio World Smash Ball!,Compete in fun sports challenges with Sanrio friends.,
Sansara Naga 2,Embark on a fantasy RPG adventure with deep story and combat.,
Sanspo Fishing - Keiryuu Ou,Enjoy fishing in serene river environments.,
Saturday Night Slam Masters,Fight in wrestling ring with powerful fighters.,
Scooby-Doo: Mystery,Solve spooky mysteries with Scooby and the gang.,
SD F-1 Grand Prix,Race miniature Formula 1 cars on exciting tracks.,
SD Gundam G Next,Command SD Gundam units in strategic battles.,
SD Gundam Gaiden 2: Entaku no Kishi,Continue tactical adventures with SD Gundam heroes.,
SD Gundam Gaiden: Knight Gundam Monogatari - Ooinaru Isan,Fight as knight-themed Gundams in epic quests.,
SD Gundam GX,Engage in mech battles with Super Deformed Gundams.,
SD Gundam Power Formation Puzzle,Solve puzzles featuring Gundam characters.,
SD Gundam X,Command powerful Gundam units in strategic combat.,
The Ren & Stimpy Show: Buckaroo$!,Join Ren & Stimpy in wild and wacky adventures.,
The Ren & Stimpy Show: Fire Dogs,Experience chaotic gameplay with Ren & Stimpy.,
The Ren & Stimpy Show: Time Warp,Travel through time with the crazy duo.,
The Ren & Stimpy Show: Veediots!,Dive into bizarre mini-games with Ren & Stimpy.,
The Rocketeer,Fly as the Rocketeer and fight villains in this action platformer.,
A.S.P.: Air Strike Patrol,Pilot a helicopter and complete rescue missions.,
SD Hiryuu no Ken,Battle with super-deformed martial artists in fast fights.,
SD Kidou Senshi Gundam: V Sakusen Shidou,Lead Gundam pilots in tactical battles against enemies.,
SD The Great Battle: Aratanaru Chousen,Crossover beat ‘em up featuring heroes battling evil in classic arcade style.,
SeaQuest - DSV,Underwater adventure game based on the sci-fi TV series exploring ocean mysteries.,
Secret of Evermore,Action RPG where a boy and his dog journey through strange worlds to find a way home.,
Secret of Mana,Classic action RPG with real-time battles and a magical quest to save the world.,
Seifuku Densetsu: Pretty Fighter,Fighting game starring schoolgirls with special powers in intense battles.,
Seijuu Maden Beasts n Blades,Fantasy action game featuring mythical beasts and sword combat.,
Sengoku Denshou,Strategy game set in Japan’s Warring States period focused on conquest.,
Sengoku no Hasha - Tenkafubu e no Michi,Tactical war game about unifying Japan through strategic battles.,
Sgt. Saunders' Combat!,WWII turn-based strategy game with tactical combat scenarios.,
Shadowrun,Cyberpunk RPG combining magic and technology in a dystopian future world.,
Shanghai II: Dragon's Eye,Puzzle game focusing on matching and removing tiles with a dragon theme.,
Shanghai III,Classic Mahjong solitaire tile-matching puzzle game with multiple layouts.,
Shanghai: Banri no Choujou,Extended Mahjong solitaire game with additional features and stages.,
Shaq-Fu,Fighting game starring basketball star Shaquille O’Neal in a mystical martial arts adventure.,
Shichuusuimeigaku Nyuumon - Shin Tougenkyou,Educational game teaching new psychology concepts.,
Shien's Revenge,Action platformer where a ninja battles dark forces using magic and combat skills.,
Shijou Saikyou League Serie A - Ace Striker,Soccer game featuring Italy’s Serie A teams and leagues.,
Shijou Saikyou no Quiz Ou Ketteisen Super,Competitive quiz game testing general knowledge and trivia.,
Shiki Eiyuuden,RPG adventure with heroes fighting supernatural threats in a fantasy setting.,
Shimono Masaki no Fishing to Bassing,Fishing simulation game focusing on bass fishing challenges.,
Shin Ikkakusenkin,Fighting game with martial arts combat and various fighters to choose from.,
Shin Kidou Senki Gundam W: Endless Duel,Fast-paced Gundam fighting game with mecha combat.,
Shin Mahjong,Traditional Japanese Mahjong game with realistic rules and AI opponents.,
Shin Megami Tensei,Dark RPG with demon negotiation and turn-based battles in a post-apocalyptic world.,
Shin Megami Tensei if...,Spin-off RPG focusing on a school setting mixed with demons and battles.,
Shin Megami Tensei II,Sequel to the original with expanded story and more complex demon interactions.,
Shin Momotarou Densetsu,Action RPG with folklore-inspired quests and character upgrades.,
Shin Nekketsu Kouha: Kunio-tachi no Banka | River City Girls Zero,Beat ‘em up featuring street fighters in side-scrolling combat.,
Shin Nihon Pro Wrestling - Chou Senshi in Tokyo Dome - Fantastic Story,Wrestling game with pro wrestlers and story mode.,
Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome,Pro wrestling game featuring 1994 Tokyo Dome matches.,
Shin Nihon Pro Wrestling Kounin - '95 Tokyo Dome Battle 7,Follow-up wrestling game with expanded rosters and moves.,
Shin SD Sengokuden - Daishougun Retsuden,Tactical RPG with SD Gundam characters in historic battles.,
Shin Seikoku: La Wares,Strategy RPG featuring mecha units and tactical combat.,
Shin Shougi Club,Digital Shogi game with various skill levels and AI opponents.,
Shinseiki Odysselya,Sci-fi RPG featuring exploration and turn-based battles in a futuristic world.,
Shinseiki Odysselya II,Sequel expanding the original’s sci-fi RPG story and gameplay.,
Shinzui Taikyoku Igo - Go Sennin,Classic Go board game with AI and multiplayer options.,
Shiroi Ring e - Twinkle Little Star,RPG adventure with fantasy themes and turn-based combat.,
Shodai Nekketsu Kouha Kunio-kun,Classic beat ‘em up with street fighting action and humor.,
Shodan Morita Shougi,Realistic Shogi game focused on skill improvement and tournaments.,
Shodani Nintei - Shodan Pro Mahjong,Mahjong game aimed at pro-level play and challenging AI.,
Shougi Club,Casual Shogi game suitable for beginners and fans of the board game.,
Shougi Fuurinkazan,Shogi title with historical themes and challenging AI opponents.,
Shougi Saikyou,Advanced Shogi game featuring top-ranked players and tournaments.,
Shougi Saikyou II: Jissen Taikyoku Hen,Sequel improving AI and adding competitive match modes.,
Shougi Zanmai,Shogi simulation with easy controls and various gameplay options.,
Shounen Ashibe: Goma-chan no Yuuenchi Daibouken,Adventure game featuring a young boy and his seal in a theme park.,
Shounen Ninja Sasuke,Action platformer starring a young ninja on an adventure.,
"Shounin yo, Taishi o Idake!!",Taishi o Idake!! Business simulation game focused on entrepreneurship and strategy.,
Shuushoku Game,Job hunting simulation game where players manage their career search.,
Sid Meier's Civilization,Classic turn-based strategy game building and managing a civilization through history.,
Side Pocket,Pool simulation game with realistic physics and various modes.,
Silva Saga II: The Legend of Light and Darkness,RPG adventure with fantasy story and turn-based combat.,
SimAnt: The Electronic Ant Colony,Simulation game managing an ant colony’s survival and growth.,
SimCity,City-building simulation game focused on urban planning and management.,
SimCity Jr.: The Town You Build Yourself!,Kid-friendly city-building game with simple controls.,
SimEarth: The Living Planet,Planet simulation game managing ecosystems and evolution.,
Simulation Pro Yakyuu,Baseball simulation focusing on strategy and team management.,
Sink or Swim,Puzzle platformer where players control characters navigating water-based challenges.,
Skuljagger - Revolt of the Westicans,Action-adventure game with platforming and combat elements.,
Skyblazer | Karuraou,Fantasy platformer with magic and sword combat in a mystical world.,
Slam Dunk 2: IH Yosen Kanzen Ban!!,Basketball game based on the Slam Dunk anime series.,
Slam Dunk: SD Heat Up!!,Sports game featuring stylized basketball matches and characters.,
Slam Dunk: Shuueisha Limited,Promotional basketball game with characters from Slam Dunk manga.,
Slam Dunk: Yonkyou Gekitotsu!!,Basketball game focusing on competitive matches and team play.,
Slayers,"RPG based on the popular anime, featuring magic and monster battles.",
Smash Tennis,Fast-paced tennis game with arcade-style action and diverse players.,
Snoopy Concert,Musical rhythm game starring Snoopy and friends.,
Snow White in Happily Ever After,Platformer based on the Snow White fairy tale.,
Socks the Cat Rocks the Hill,Political satire platformer featuring a cat running for office.,
Soldiers of Fortune | The Chaos Engine,Action run-and-gun game with cooperative gameplay.,
Solid Runner,Sci-fi action shooter with futuristic combat scenarios.,
Song Master,Rhythm game focusing on music and timing challenges.,
Sonic Blast Man,Beat ‘em up game featuring a superhero fighting crime.,
Sonic Blast Man II,Sequel with new moves and enhanced beat ‘em up action.,
Soreyuke Ebisumaru Karakuri Meiro: Kieta Goemon no Nazo!!,Puzzle platformer with stealth and trap elements.,
SOS,Survival game where players try to escape a sinking ship.,
Sotsugyou Bangai Hen - Nee Mahjong Shiyo!,Mahjong game with graduation-themed story elements.,
Sougou Kakutougi Rings: Astral Bout 3,Fighting game with mixed martial arts and varied fighters.,
Sougou Kakutougi: Astral Bout,Martial arts fighting game featuring realistic combat styles.,
Sougou Kakutougi: Astral Bout 2: The Total Fighters,Sequel expanding the fighter roster and moves.,
Soukou Kihei Votoms: The Battling Road,Mecha action game based on the VOTOMS anime series.,
Soul and Sword,Action RPG mixing sword combat with fantasy elements.,
Soul Blazer,Action RPG where players restore the world by freeing trapped souls.,
Space Ace,Arcade-style space shooter with animated sequences.,
Space Football - One on One,Futuristic sports game mixing football with sci-fi elements.,
Space Invaders: The Original Game,Classic arcade shooter defending Earth from alien invaders.,
Space Megaforce | Super Aleste,Fast-paced vertical shooter with powerful weapons and stages.,
Spanky's Quest,Puzzle-platformer starring a monkey on a magical adventure.,
The Shadow,Action game based on the comic book hero fighting crime in the city.,
The Shinri Game 1: Akuma no Kokoroji,Psychological horror adventure with mystery puzzles.,
The Shinri Game 2: Magical Trip,Sequel continuing the psychological thriller storyline.,
The Shinri Game 3,Final chapter in the series with dark themes and complex puzzles.,
The Simpsons: Bart's Nightmare,Platformer where Bart navigates his bizarre dreams.,
The Smurfs,Platformer starring the small blue creatures solving puzzles and avoiding enemies.,
The Smurfs 2: The Smurfs Travel the World,Sequel with new locations and challenges for the Smurfs.,
Spark World,Fantasy RPG featuring elemental magic and turn-based battles.,
Sparkster,Action platformer starring a rocket-powered opossum fighting evil forces.,
Special Tee Shot,Golf game focused on precision shots and tournament play.,
Spectre,Action game with futuristic tanks battling in 3D arenas.,
Speed Racer in My Most Dangerous Adventures,Racing and action game based on the Speed Racer series.,
Speedy Gonzales: Los Gatos Bandidos,Platformer starring Speedy Gonzales avoiding cats and obstacles.,
Spider-Man,Action game featuring Spider-Man swinging through New York and fighting villains.,
Spider-Man & Venom: Maximum Carnage,Beat ‘em up with Spider-Man and Venom teaming up against enemies.,
Spider-Man and the X-Men in Arcade's Revenge,Side-scrolling action game starring Marvel heroes.,
Spindizzy Worlds,Puzzle game involving navigation of rotating worlds and objects.,
Spirou,Platformer based on the comic series with fast-paced action.,
Sporting News: Baseball,Baseball simulation game with realistic gameplay and stats.,
Sports Illustrated Championship Football and Baseball,Sports game featuring both football and baseball modes.,
Spriggan Powered,Action RPG with folklore-inspired quests and character upgrades.,
Sprinter Monogatari - Mezase!! Ikkakusenkin,Sports game focused on sprint racing challenges.,
St. Andrews - Eikou to Rekishi no Old Course,Golf simulation set on the famous St. Andrews course.,
Stable Star,Horse racing simulation game with breeding and racing management.,
Star Fox,Iconic 3D space shooter featuring the Star Fox team battling enemy forces.,
Star Fox 2,Sequel with enhanced gameplay and new mechanics (officially unreleased until recent).,
Star Fox: Super Weekend - Competition Edition,Competitive racing game featuring Star Fox characters.,
Star Ocean,Sci-fi RPG blending space exploration with fantasy elements.,
Star Trek: Deep Space Nine - Crossroads of Time,Adventure game set in the Star Trek DS9 universe.,
Star Trek: Starfleet Academy,Space combat simulator set in the Star Trek universe.,
Star Trek: The Next Generation,Adventure game based on the TNG TV series with story-driven missions.,
Stardust Suplex,Wrestling game with over-the-top moves and colorful characters.,
Stargate,Action game based on the movie with platforming and shooting elements.,
Stealth,Tactical action game focused on covert operations and strategy.,
Steel Talons,Helicopter combat simulation with realistic flying and missions.,
Sterling Sharpe - End 2 End,Football game featuring NFL star Sterling Sharpe.,
Stone Protectors,Action game with rock band heroes fighting evil.,
Street Combat,Fighting game with various martial arts styles and fighters.,
Street Fighter Alpha 2,Popular fighting game with diverse characters and special moves.,
Street Fighter II Turbo: Hyper Fighting,"Faster, more intense version of the classic fighting game.",
Street Fighter II: The World Warrior,The original iconic fighting game that popularized the genre.,
Street Racer,Racing game with multiple vehicles and tracks.,
Street Sports - Jammit,Street basketball game with arcade-style gameplay.,
Street Sports: Street Hockey '95,Fast-paced street hockey game with simple controls.,
Strike Gunner S.T.G,Vertical scrolling shooter with power-ups and boss battles.,
Stunt Race FX,3D racing game with stunt tracks and futuristic vehicles.,
Sugoi Hebereke,Fighting game featuring quirky characters and humorous combat.,
Sugoro Quest,Board game RPG mixing dice and turn-based battles.,
Sugoroku Ginga Senki,Sci-fi board game with strategy and chance elements.,
Sunset Riders,Classic western-themed run-and-gun arcade game.,
Supapoon,Puzzle game with colorful pieces and matching mechanics.,
Supapoon DX,Enhanced version of Supapoon with new levels and features.,
Super 3D Baseball,Baseball game with 3D graphics and realistic gameplay.,
Super Adventure Island,Platformer with exploration and weapon upgrades.,
Super Adventure Island II,Sequel with expanded levels and new abilities.,
Super Air Diver 2,Flight combat simulator with modern jets and missions.,
Super Alfred Chicken,Platformer starring a chicken on a quest to rescue friends.,
Super Back to the Future: Part II,Action game based on the movie’s time-travel adventures.,
Super Baken Ou '95,Fighting game with mythical monsters and combat techniques.,
Super Baseball Simulator 1.000 | Super Ultra Baseball,Baseball simulation with enhanced stats and gameplay.,
Super Bases Loaded,Arcade-style baseball game with fast-paced action.,
Super Bases Loaded 2,Sequel with improved graphics and new teams.,
Super Bases Loaded 3 - License to Steal,Baseball game emphasizing stealing bases and strategy.,
Super Battleship,Naval warfare strategy game with realistic ship combat.,
